Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.136928280,1,1,1,1,0,1,0,0
0.136957120,1,1,1,1,0,0,0,0
0.137122200,1,1,1,0,0,0,0,0
0.137123840,1,1,0,0,0,0,0,0
0.139989840,0,1,0,0,0,0,0,0
0.139997360,0,1,0,0,0,0,0,1
0.140002320,0,1,0,0,0,0,1,1
0.140008040,0,0,0,0,0,0,1,1
0.140008800,0,0,1,0,0,0,1,1
0.140009640,0,0,1,0,0,0,0,1
0.140081280,0,0,1,0,0,0,0,0
0.140094320,0,0,1,0,1,0,0,0
0.140111160,0,0,1,0,0,0,0,0
0.140897120,0,0,1,1,0,0,0,0
0.140912480,0,0,1,1,0,1,0,0
0.140941320,0,0,1,1,0,0,0,0
0.141100240,0,0,1,0,0,0,0,0
0.141101200,0,0,0,0,0,0,0,0
0.143986880,1,0,0,0,0,0,0,0
0.144003240,1,1,0,0,0,0,0,0
0.144003960,1,1,1,0,0,0,0,0
0.144007920,1,1,1,0,0,0,0,1
0.144012840,1,1,1,0,0,0,1,1
0.144020200,1,1,1,0,0,0,0,1
0.144092000,1,1,1,0,0,0,0,0
0.144105040,1,1,1,0,1,0,0,0
0.144121880,1,1,1,0,0,0,0,0
0.145065120,1,1,1,1,0,0,0,0
0.145081720,1,1,1,1,0,1,0,0
0.145110560,1,1,1,1,0,0,0,0
0.145258400,1,1,1,0,0,0,0,0
0.145259400,1,1,0,0,0,0,0,0
0.147985320,0,1,0,0,0,0,0,0
0.148002080,0,0,0,0,0,0,0,0
0.148002840,0,0,1,0,0,0,0,0
0.148007760,0,0,1,0,0,0,0,1
0.148012680,0,0,1,0,0,0,1,1
0.148020040,0,0,1,0,0,0,0,1
0.148091720,0,0,1,0,0,0,0,0
0.148104760,0,0,1,0,1,0,0,0
0.148121600,0,0,1,0,0,0,0,0
0.149275520,0,0,1,1,0,0,0,0
0.149289240,0,0,1,1,0,1,0,0
0.149318080,0,0,1,1,0,0,0,0
0.149451000,0,0,1,0,0,0,0,0
0.149451960,0,0,0,0,0,0,0,0
0.151984400,1,0,0,0,0,0,0,0
0.152002080,1,1,0,0,0,0,0,0
0.152002800,1,1,1,0,0,0,0,0
0.152014040,1,1,1,0,0,0,0,1
0.152019000,1,1,1,0,0,0,1,1
0.152026320,1,1,1,0,0,0,0,1
0.152098000,1,1,1,0,0,0,0,0
0.152111040,1,1,1,0,1,0,0,0
0.152127880,1,1,1,0,0,0,0,0
0.153305480,1,1,1,1,0,0,0,0
0.153320160,1,1,1,1,0,1,0,0
0.153349000,1,1,1,1,0,0,0,0
0.153526720,1,1,1,0,0,0,0,0
0.153527680,1,1,0,0,0,0,0,0
0.155986360,0,1,0,0,0,0,0,0
0.155998200,0,1,0,0,0,0,0,1
0.156001160,0,0,0,0,0,0,0,1
0.156001880,0,0,1,0,0,0,0,1
0.156003120,0,0,1,0,0,0,1,1
0.156010440,0,0,1,0,0,0,0,1
0.156082000,0,0,1,0,0,0,0,0
0.156095080,0,0,1,0,1,0,0,0
0.156111920,0,0,1,0,0,0,0,0
0.157263720,0,0,1,1,0,0,0,0
0.157282800,0,0,1,1,0,1,0,0
0.157311640,0,0,1,1,0,0,0,0
0.157433560,0,0,1,0,0,0,0,0
0.157435160,0,0,0,0,0,0,0,0
0.159982720,1,0,0,0,0,0,0,0
0.159990240,1,0,0,0,0,0,0,1
0.159995160,1,0,0,0,0,0,1,1
0.160000320,1,1,0,0,0,0,1,1
0.160001040,1,1,1,0,0,0,1,1
0.160002480,1,1,1,0,0,0,0,1
0.160074040,1,1,1,0,0,0,0,0
0.160093360,1,1,1,0,1,0,0,0
0.160110200,1,1,1,0,0,0,0,0
0.161060960,1,1,1,1,0,0,0,0
0.161077240,1,1,1,1,0,1,0,0
0.161106400,1,1,1,1,0,0,0,0
0.161224240,1,1,1,0,0,0,0,0
0.161225200,1,1,0,0,0,0,0,0
0.163985880,0,1,0,0,0,0,0,0
0.163993400,0,1,0,0,0,0,0,1
0.163998360,0,1,0,0,0,0,1,1
0.164002280,0,0,0,0,0,0,1,1
0.164003040,0,0,1,0,0,0,1,1
0.164005680,0,0,1,0,0,0,0,1
0.164077240,0,0,1,0,0,0,0,0
0.164090280,0,0,1,0,1,0,0,0
0.164107120,0,0,1,0,0,0,0,0
0.164895200,0,0,1,1,0,0,0,0
0.164912400,0,0,1,1,0,1,0,0
0.164941240,0,0,1,1,0,0,0,0
0.165069000,0,0,1,0,0,0,0,0
0.165069960,0,0,0,0,0,0,0,0
0.167992040,1,0,0,0,0,0,0,0
0.167999520,1,0,0,0,0,0,0,1
0.168004480,1,0,0,0,0,0,1,1
0.168007400,1,1,0,0,0,0,1,1
0.168008120,1,1,1,0,0,0,1,1
0.168011800,1,1,1,0,0,0,0,1
0.168083360,1,1,1,0,0,0,0,0
0.168096400,1,1,1,0,1,0,0,0
0.168113240,1,1,1,0,0,0,0,0
0.168907200,1,1,1,1,0,0,0,0
0.168925480,1,1,1,1,0,1,0,0
0.168954320,1,1,1,1,0,0,0,0
0.169095520,1,1,1,0,0,0,0,0
0.169096520,1,1,0,0,0,0,0,0
0.171990640,0,1,0,0,0,0,0,0
0.172009400,0,0,0,0,0,0,0,0
0.172010160,0,0,1,0,0,0,0,0
0.172036680,0,0,1,0,0,0,0,1
0.172041600,0,0,1,0,0,0,1,1
0.172048920,0,0,1,0,0,0,0,1
0.172120600,0,0,1,0,0,0,0,0
0.172133680,0,0,1,0,1,0,0,0
0.172150520,0,0,1,0,0,0,0,0
0.173096720,0,0,1,1,0,0,0,0
0.173110840,0,0,1,1,0,1,0,0
0.173139680,0,0,1,1,0,0,0,0
0.173274040,0,0,1,0,0,0,0,0
0.173276120,0,0,0,0,0,0,0,0
0.175989400,1,0,0,0,0,0,0,0
0.176006720,1,1,0,0,0,0,0,0
0.176007440,1,1,1,0,0,0,0,0
0.176033520,1,1,1,0,0,0,0,1
0.176038480,1,1,1,0,0,0,1,1
0.176045800,1,1,1,0,0,0,0,1
0.176117400,1,1,1,0,0,0,0,0
0.176130480,1,1,1,0,1,0,0,0
0.176147320,1,1,1,0,0,0,0,0
0.177281040,1,1,1,1,0,0,0,0
0.177294400,1,1,1,1,0,1,0,0
0.177323240,1,1,1,1,0,0,0,0
0.177471880,1,1,1,0,0,0,0,0
0.177472920,1,1,0,0,0,0,0,0
0.179989160,0,1,0,0,0,0,0,0
0.180004520,0,0,0,0,0,0,0,0
0.180005320,0,0,1,0,0,0,0,0
0.180031800,0,0,1,0,0,0,0,1
0.180036760,0,0,1,0,0,0,1,1
0.180044080,0,0,1,0,0,0,0,1
0.180115680,0,0,1,0,0,0,0,0
0.180128760,0,0,1,0,1,0,0,0
0.180145600,0,0,1,0,0,0,0,0
0.181279400,0,0,1,1,0,0,0,0
0.181293080,0,0,1,1,0,1,0,0
0.181321920,0,0,1,1,0,0,0,0
0.181436000,0,0,1,0,0,0,0,0
0.181436960,0,0,0,0,0,0,0,0
0.183984080,1,0,0,0,0,0,0,0
0.184002640,1,1,0,0,0,0,0,0
0.184003360,1,1,1,0,0,0,0,0
0.184015760,1,1,1,0,0,0,0,1
0.184020720,1,1,1,0,0,0,1,1
0.184028040,1,1,1,0,0,0,0,1
0.184099600,1,1,1,0,0,0,0,0
0.184112680,1,1,1,0,1,0,0,0
0.184129480,1,1,1,0,0,0,0,0
0.185289360,1,1,1,1,0,0,0,0
0.185304680,1,1,1,1,0,1,0,0
0.185333520,1,1,1,1,0,0,0,0
0.185475800,1,1,1,0,0,0,0,0
0.185476760,1,1,0,0,0,0,0,0
0.187979560,0,1,0,0,0,0,0,0
0.187987080,0,1,0,0,0,0,0,1
0.187992040,0,1,0,0,0,0,1,1
0.187997200,0,0,0,0,0,0,1,1
0.187997960,0,0,1,0,0,0,1,1
0.187999360,0,0,1,0,0,0,0,1
0.188071160,0,0,1,0,0,0,0,0
0.188084160,0,0,1,0,1,0,0,0
0.188101000,0,0,1,0,0,0,0,0
0.189103480,0,0,1,1,0,0,0,0
0.189116120,0,0,1,1,0,1,0,0
0.189144960,0,0,1,1,0,0,0,0
0.189298960,0,0,1,0,0,0,0,0
