Time [s],Channel 0,Channel 1
-0.222997800,0,0
-0.220998840,0,1
-0.219000720,0,0
-0.217001760,0,1
-0.215003680,0,0
-0.213004720,0,1
-0.211006640,0,0
-0.209007680,0,1
-0.207009600,0,0
-0.205010640,0,1
-0.203012560,0,0
-0.201013600,0,1
-0.199015560,0,0
-0.197016600,0,1
-0.195018520,0,0
-0.193019560,0,1
-0.191021480,0,0
-0.189022520,0,1
-0.187024440,0,0
-0.185025480,0,1
-0.183027400,0,0
-0.181028440,0,1
-0.179030320,0,0
-0.177031360,0,1
-0.175033280,0,0
-0.173034320,0,1
-0.171036280,0,0
-0.169037320,0,1
-0.167039240,0,0
-0.165040280,0,1
-0.163038840,0,0
-0.161043240,0,1
-0.159045160,0,0
-0.157046240,0,1
-0.155048120,0,0
-0.153049200,0,1
-0.151051080,0,0
-0.149052160,0,1
-0.147054000,0,0
-0.145055040,0,1
-0.143056960,0,0
-0.141058000,0,1
-0.139059920,0,0
-0.137060960,0,1
-0.135062920,0,0
-0.133064000,0,1
-0.131065880,0,0
-0.129066960,0,1
-0.127068840,0,0
-0.125069920,0,1
-0.123071800,0,0
-0.121072880,0,1
-0.119074760,0,0
-0.117075840,0,1
-0.115077680,0,0
-0.113078720,0,1
-0.111080640,0,0
-0.109081680,0,1
-0.107083600,0,0
-0.105084640,0,1
-0.103086560,0,0
-0.101087600,0,1
-0.099089560,0,0
-0.097090640,0,1
-0.095092520,0,0
-0.093093600,0,1
-0.091095480,0,0
-0.089096560,0,1
-0.087098400,0,0
-0.085099440,0,1
-0.083101360,0,0
-0.081102400,0,1
-0.079104320,0,0
-0.077105360,0,1
-0.075107280,0,0
-0.073108320,0,1
-0.071110240,0,0
-0.069111280,0,1
-0.067113280,0,0
-0.065114320,0,1
-0.063116240,0,0
-0.061117280,0,1
-0.059119200,0,0
-0.057120240,0,1
-0.055122160,0,0
-0.053123200,0,1
-0.051125040,0,0
-0.049126080,0,1
-0.047128000,0,0
-0.045129040,0,1
-0.043130960,0,0
-0.041132000,0,1
-0.039134000,0,0
-0.037135040,0,1
-0.035133680,0,0
-0.033138000,0,1
-0.031139920,0,0
-0.029140960,0,1
-0.027142880,0,0
-0.025143920,0,1
-0.023145840,0,0
-0.021146880,0,1
-0.019148800,0,0
