Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.125516800,0,0,0,0
0.125557860,0,0,1,0
0.125565480,0,0,0,0
0.125606620,0,0,1,0
0.125614360,0,0,0,0
0.127048440,1,0,0,0
0.127057520,1,1,0,0
0.127094380,1,1,0,1
0.127110360,1,1,0,0
0.127509100,1,1,1,0
0.127516740,1,1,0,0
0.127557800,1,1,1,0
0.127565420,1,1,0,0
0.127606620,1,1,1,0
0.127614380,1,1,0,0
0.129048080,0,1,0,0
0.129057160,0,0,0,0
0.129094440,0,0,0,1
0.129110440,0,0,0,0
0.129509120,0,0,1,0
0.129516740,0,0,0,0
0.129557940,0,0,1,0
0.129565560,0,0,0,0
0.129606640,0,0,1,0
0.129614380,0,0,0,0
0.131062800,1,0,0,0
0.131071920,1,1,0,0
0.131108580,1,1,0,1
0.131124560,1,1,0,0
0.131523500,1,1,1,0
0.131531140,1,1,0,0
0.131572200,1,1,1,0
0.131579800,1,1,0,0
0.131620960,1,1,1,0
0.131628700,1,1,0,0
0.133047500,0,1,0,0
0.133056500,0,0,0,0
0.133093900,0,0,0,1
0.133109900,0,0,0,0
0.133508380,0,0,1,0
0.133516020,0,0,0,0
0.133557140,0,0,1,0
0.133564760,0,0,0,0
0.133605960,0,0,1,0
0.133613700,0,0,0,0
0.135061600,1,0,0,0
0.135070740,1,1,0,0
0.135107420,1,1,0,1
0.135123400,1,1,0,0
0.135521840,1,1,1,0
0.135529460,1,1,0,0
0.135570660,1,1,1,0
0.135578260,1,1,0,0
0.135619400,1,1,1,0
0.135627160,1,1,0,0
0.137046240,0,1,0,0
0.137055260,0,0,0,0
0.137092740,0,0,0,1
0.137108720,0,0,0,0
0.137507100,0,0,1,0
0.137514720,0,0,0,0
0.137555840,0,0,1,0
0.137563460,0,0,0,0
0.137604600,0,0,1,0
0.137612340,0,0,0,0
0.139059460,1,0,0,0
0.139068500,1,1,0,0
0.139105240,1,1,0,1
0.139121240,1,1,0,0
0.139519920,1,1,1,0
0.139527540,1,1,0,0
0.139568680,1,1,1,0
0.139576280,1,1,0,0
0.139617500,1,1,1,0
0.139625240,1,1,0,0
0.141061060,0,1,0,0
0.141070020,0,0,0,0
0.141107380,0,0,0,1
0.141123360,0,0,0,0
0.141522120,0,0,1,0
0.141529740,0,0,0,0
0.141570860,0,0,1,0
0.141578480,0,0,0,0
0.141619680,0,0,1,0
0.141627420,0,0,0,0
0.143048240,1,0,0,0
0.143057340,1,1,0,0
0.143094060,1,1,0,1
0.143110060,1,1,0,0
0.143508740,1,1,1,0
0.143516380,1,1,0,0
0.143557440,1,1,1,0
0.143565040,1,1,0,0
0.143606260,1,1,1,0
0.143614000,1,1,0,0
0.145047780,0,1,0,0
0.145056740,0,0,0,0
0.145094320,0,0,0,1
0.145110320,0,0,0,0
0.145508820,0,0,1,0
0.145516440,0,0,0,0
0.145557640,0,0,1,0
0.145565240,0,0,0,0
0.145606340,0,0,1,0
0.145614080,0,0,0,0
0.147062500,1,0,0,0
0.147071540,1,1,0,0
0.147108520,1,1,0,1
0.147124520,1,1,0,0
0.147523380,1,1,1,0
0.147531020,1,1,0,0
0.147572080,1,1,1,0
0.147579680,1,1,0,0
0.147620900,1,1,1,0
0.147628660,1,1,0,0
0.149046040,0,1,0,0
0.149055060,0,0,0,0
0.149092400,0,0,0,1
0.149108400,0,0,0,0
0.149507140,0,0,1,0
0.149514760,0,0,0,0
0.149555840,0,0,1,0
0.149563440,0,0,0,0
0.149604660,0,0,1,0
0.149612400,0,0,0,0
0.151060360,1,0,0,0
0.151069440,1,1,0,0
0.151106300,1,1,0,1
0.151122280,1,1,0,0
0.151520780,1,1,1,0
0.151528400,1,1,0,0
0.151569600,1,1,1,0
0.151577200,1,1,0,0
0.151618300,1,1,1,0
0.151626040,1,1,0,0
0.153062840,0,1,0,0
0.153071840,0,0,0,0
0.153109180,0,0,0,1
0.153125160,0,0,0,0
0.153523780,0,0,1,0
0.153531400,0,0,0,0
0.153572500,0,0,1,0
0.153580080,0,0,0,0
0.153621300,0,0,1,0
0.153629060,0,0,0,0
0.155048140,1,0,0,0
0.155057320,1,1,0,0
0.155094180,1,1,0,1
0.155110180,1,1,0,0
0.155508840,1,1,1,0
0.155516480,1,1,0,0
0.155557540,1,1,1,0
0.155565160,1,1,0,0
0.155606360,1,1,1,0
0.155614120,1,1,0,0
0.157047740,0,1,0,0
0.157056720,0,0,0,0
0.157094200,0,0,0,1
0.157110180,0,0,0,0
0.157508800,0,0,1,0
