Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
0.067783125,0,0,0,1,1,0
0.067966600,0,0,0,1,0,0
0.069481800,0,0,0,1,1,0
0.069490775,0,0,0,0,1,0
0.069534625,0,0,0,0,1,1
0.069556350,0,0,0,0,1,0
0.069711550,0,1,0,0,1,0
0.069725875,0,0,0,0,1,0
0.069732375,0,0,1,0,1,0
0.069761325,0,0,0,0,1,0
0.069794550,1,0,0,0,1,0
0.069810275,0,0,0,0,1,0
0.069990975,0,0,0,0,0,0
0.071506925,0,0,0,0,1,0
0.071516175,0,0,0,1,1,0
0.071559625,0,0,0,1,1,1
0.071581350,0,0,0,1,1,0
0.071736575,0,1,0,1,1,0
0.071750900,0,0,0,1,1,0
0.071757150,0,0,1,1,1,0
0.071786100,0,0,0,1,1,0
0.071819450,1,0,0,1,1,0
0.071835175,0,0,0,1,1,0
0.072015975,0,0,0,1,0,0
0.073431200,0,0,0,1,1,0
0.073440175,0,0,0,0,1,0
0.073484025,0,0,0,0,1,1
0.073505725,0,0,0,0,1,0
0.073660825,0,1,0,0,1,0
0.073675150,0,0,0,0,1,0
0.073681775,0,0,1,0,1,0
0.073710725,0,0,0,0,1,0
0.073743400,1,0,0,0,1,0
0.073759125,0,0,0,0,1,0
0.073939825,0,0,0,0,0,0
0.075457875,0,0,0,0,1,0
0.075467125,0,0,0,1,1,0
0.075510600,0,0,0,1,1,1
0.075532325,0,0,0,1,1,0
0.075687525,0,1,0,1,1,0
0.075701850,0,0,0,1,1,0
0.075708225,0,0,1,1,1,0
0.075737175,0,0,0,1,1,0
0.075770400,1,0,0,1,1,0
0.075786150,0,0,0,1,1,0
0.075966925,0,0,0,1,0,0
0.077481775,0,0,0,1,1,0
0.077490775,0,0,0,0,1,0
0.077534600,0,0,0,0,1,1
0.077556325,0,0,0,0,1,0
0.077711425,0,1,0,0,1,0
0.077725750,0,0,0,0,1,0
0.077732450,0,0,1,0,1,0
0.077761400,0,0,0,0,1,0
0.077794375,1,0,0,0,1,0
0.077810100,0,0,0,0,1,0
0.077990950,0,0,0,0,0,0
0.079505625,0,0,0,0,1,0
0.079514875,0,0,0,1,1,0
0.079558350,0,0,0,1,1,1
0.079580075,0,0,0,1,1,0
0.079735150,0,1,0,1,1,0
0.079749475,0,0,0,1,1,0
0.079756100,0,0,1,1,1,0
0.079785050,0,0,0,1,1,0
0.079818150,1,0,0,1,1,0
0.079833875,0,0,0,1,1,0
0.080014675,0,0,0,1,0,0
0.081430975,0,0,0,1,1,0
0.081439950,0,0,0,0,1,0
0.081483800,0,0,0,0,1,1
0.081505525,0,0,0,0,1,0
0.081660725,0,1,0,0,1,0
0.081675050,0,0,0,0,1,0
0.081681300,0,0,1,0,1,0
0.081710250,0,0,0,0,1,0
0.081743350,1,0,0,0,1,0
0.081759075,0,0,0,0,1,0
0.081940000,0,0,0,0,0,0
0.083456675,0,0,0,0,1,0
0.083465925,0,0,0,1,1,0
0.083509400,0,0,0,1,1,1
0.083531125,0,0,0,1,1,0
0.083686175,0,1,0,1,1,0
0.083700500,0,0,0,1,1,0
0.083707200,0,0,1,1,1,0
0.083736150,0,0,0,1,1,0
0.083769125,1,0,0,1,1,0
0.083784850,0,0,0,1,1,0
0.083965750,0,0,0,1,0,0
0.085480650,0,0,0,1,1,0
0.085489625,0,0,0,0,1,0
0.085533475,0,0,0,0,1,1
0.085555200,0,0,0,0,1,0
0.085710275,0,1,0,0,1,0
0.085724600,0,0,0,0,1,0
0.085730850,0,0,1,0,1,0
0.085759800,0,0,0,0,1,0
0.085793200,1,0,0,0,1,0
0.085808925,0,0,0,0,1,0
0.085989775,0,0,0,0,0,0
0.087504475,0,0,0,0,1,0
0.087513725,0,0,0,1,1,0
0.087557175,0,0,0,1,1,1
0.087578900,0,0,0,1,1,0
0.087734050,0,1,0,1,1,0
0.087748375,0,0,0,1,1,0
0.087766000,0,0,1,1,1,0
0.087794950,0,0,0,1,1,0
0.087816925,1,0,0,1,1,0
0.087832650,0,0,0,1,1,0
0.088013500,0,0,0,1,0,0
0.089430825,0,0,0,1,1,0
0.089439800,0,0,0,0,1,0
0.089483650,0,0,0,0,1,1
0.089505375,0,0,0,0,1,0
0.089660350,0,1,0,0,1,0
0.089674675,0,0,0,0,1,0
0.089681050,0,0,1,0,1,0
0.089710000,0,0,0,0,1,0
0.089742975,1,0,0,0,1,0
0.089758725,0,0,0,0,1,0
0.089939650,0,0,0,0,0,0
0.091454350,0,0,0,0,1,0
0.091463600,0,0,0,1,1,0
0.091507050,0,0,0,1,1,1
0.091528775,0,0,0,1,1,0
0.091683750,0,1,0,1,1,0
0.091698075,0,0,0,1,1,0
0.091704700,0,0,1,1,1,0
0.091733650,0,0,0,1,1,0
0.091766750,1,0,0,1,1,0
0.091782500,0,0,0,1,1,0
0.091963375,0,0,0,1,0,0
0.093480325,0,0,0,1,1,0
0.093489300,0,0,0,0,1,0
0.093533150,0,0,0,0,1,1
0.093554875,0,0,0,0,1,0
0.093710025,0,1,0,0,1,0
0.093724350,0,0,0,0,1,0
0.093736800,0,0,1,0,1,0
0.093765750,0,0,0,0,1,0
0.093792975,1,0,0,0,1,0
0.093808700,0,0,0,0,1,0
0.093989475,0,0,0,0,0,0
0.095503200,0,0,0,0,1,0
0.095512450,0,0,0,1,1,0
0.095555925,0,0,0,1,1,1
0.095577650,0,0,0,1,1,0
0.095732800,0,1,0,1,1,0
0.095747125,0,0,0,1,1,0
0.095759875,0,0,1,1,1,0
0.095788825,0,0,0,1,1,0
0.095816050,1,0,0,1,1,0
0.095831775,0,0,0,1,1,0
0.096012575,0,0,0,1,0,0
0.097430550,0,0,0,1,1,0
0.097439525,0,0,0,0,1,0
0.097483375,0,0,0,0,1,1
0.097505075,0,0,0,0,1,0
0.097660250,0,1,0,0,1,0
0.097674575,0,0,0,0,1,0
0.097680950,0,0,1,0,1,0
0.097709900,0,0,0,0,1,0
0.097742875,1,0,0,0,1,0
0.097758600,0,0,0,0,1,0
0.097939375,0,0,0,0,0,0
0.099455375,0,0,0,0,1,0
0.099464625,0,0,0,1,1,0
0.099508075,0,0,0,1,1,1
0.099529800,0,0,0,1,1,0
0.099685025,0,1,0,1,1,0
0.099699350,0,0,0,1,1,0
0.099705725,0,0,1,1,1,0
0.099734675,0,0,0,1,1,0
0.099767900,1,0,0,1,1,0
0.099783625,0,0,0,1,1,0
0.099964425,0,0,0,1,0,0
0.101479325,0,0,0,1,1,0
0.101488300,0,0,0,0,1,0
0.101532150,0,0,0,0,1,1
0.101553875,0,0,0,0,1,0
0.101708925,0,1,0,0,1,0
0.101723250,0,0,0,0,1,0
0.101729950,0,0,1,0,1,0
0.101758900,0,0,0,0,1,0
0.101791425,1,0,0,0,1,0
0.101807150,0,0,0,0,1,0
0.101993675,0,0,0,0,0,0
0.103508275,0,0,0,0,1,0
0.103517525,0,0,0,1,1,0
0.103560975,0,0,0,1,1,1
0.103582700,0,0,0,1,1,0
0.103737900,0,1,0,1,1,0
0.103752200,0,0,0,1,1,0
0.103758900,0,0,1,1,1,0
0.103787850,0,0,0,1,1,0
0.103820825,1,0,0,1,1,0
0.103836550,0,0,0,1,1,0
0.104017325,0,0,0,1,0,0
0.105430475,0,0,0,1,1,0
0.105439450,0,0,0,0,1,0
0.105483300,0,0,0,0,1,1
0.105505000,0,0,0,0,1,0
0.105660275,0,1,0,0,1,0
0.105674600,0,0,0,0,1,0
0.105681275,0,0,1,0,1,0
0.105710225,0,0,0,0,1,0
0.105743450,1,0,0,0,1,0
0.105759200,0,0,0,0,1,0
0.105939975,0,0,0,0,0,0
0.107454025,0,0,0,0,1,0
0.107463275,0,0,0,1,1,0
0.107506725,0,0,0,1,1,1
0.107528450,0,0,0,1,1,0
0.107691850,0,1,0,1,1,0
0.107706175,0,0,0,1,1,0
0.107712800,0,0,1,1,1,0
0.107741750,0,0,0,1,1,0
0.107774550,1,0,0,1,1,0
0.107790275,0,0,0,1,1,0
0.107971100,0,0,0,1,0,0
0.109487050,0,0,0,1,1,0
0.109496025,0,0,0,0,1,0
0.109539875,0,0,0,0,1,1
0.109561600,0,0,0,0,1,0
0.109716625,0,1,0,0,1,0
0.109730950,0,0,0,0,1,0
0.109737575,0,0,1,0,1,0
0.109766525,0,0,0,0,1,0
0.109799625,1,0,0,0,1,0
0.109815375,0,0,0,0,1,0
0.109996200,0,0,0,0,0,0
0.111512100,0,0,0,0,1,0
0.111521350,0,0,0,1,1,0
0.111564800,0,0,0,1,1,1
0.111586525,0,0,0,1,1,0
0.111741650,0,1,0,1,1,0
0.111755975,0,0,0,1,1,0
0.111762350,0,0,1,1,1,0
0.111791300,0,0,0,1,1,0
0.111824525,1,0,0,1,1,0
0.111840250,0,0,0,1,1,0
0.112021150,0,0,0,1,0,0
0.113430175,0,0,0,1,1,0
0.113439150,0,0,0,0,1,0
0.113483000,0,0,0,0,1,1
0.113504725,0,0,0,0,1,0
0.113659800,0,1,0,0,1,0
0.113674125,0,0,0,0,1,0
0.113680500,0,0,1,0,1,0
0.113709450,0,0,0,0,1,0
0.113742425,1,0,0,0,1,0
0.113758150,0,0,0,0,1,0
0.113939000,0,0,0,0,0,0
0.115455000,0,0,0,0,1,0
0.115464250,0,0,0,1,1,0
0.115507700,0,0,0,1,1,1
0.115529425,0,0,0,1,1,0
0.115684575,0,1,0,1,1,0
0.115698900,0,0,0,1,1,0
0.115705275,0,0,1,1,1,0
0.115745150,0,0,0,1,1,0
0.115767450,1,0,0,1,1,0
0.115783175,0,0,0,1,1,0
0.115964050,0,0,0,1,0,0
0.117478950,0,0,0,1,1,0
0.117487925,0,0,0,0,1,0
0.117531775,0,0,0,0,1,1
0.117553500,0,0,0,0,1,0
0.117708575,0,1,0,0,1,0
0.117722925,0,0,0,0,1,0
0.117729175,0,0,1,0,1,0
0.117758100,0,0,0,0,1,0
0.117791225,1,0,0,0,1,0
0.117806950,0,0,0,0,1,0
0.117987775,0,0,0,0,0,0
0.119504825,0,0,0,0,1,0
0.119514075,0,0,0,1,1,0
0.119557525,0,0,0,1,1,1
0.119579250,0,0,0,1,1,0
0.119734300,0,1,0,1,1,0
0.119748625,0,0,0,1,1,0
0.119755300,0,0,1,1,1,0
0.119784250,0,0,0,1,1,0
0.119817225,1,0,0,1,1,0
0.119832975,0,0,0,1,1,0
0.120013850,0,0,0,1,0,0
0.121429750,0,0,0,1,1,0
0.121438725,0,0,0,0,1,0
0.121482575,0,0,0,0,1,1
0.121504300,0,0,0,0,1,0
0.121659375,0,1,0,0,1,0
0.121673700,0,0,0,0,1,0
0.121679950,0,0,1,0,1,0
0.121708900,0,0,0,0,1,0
0.121742300,1,0,0,0,1,0
0.121758050,0,0,0,0,1,0
0.121938900,0,0,0,0,0,0
0.123453600,0,0,0,0,1,0
0.123462850,0,0,0,1,1,0
0.123506325,0,0,0,1,1,1
0.123528050,0,0,0,1,1,0
0.123683150,0,1,0,1,1,0
0.123697475,0,0,0,1,1,0
0.123703850,0,0,1,1,1,0
0.123732800,0,0,0,1,1,0
0.123766025,1,0,0,1,1,0
0.123781750,0,0,0,1,1,0
0.123962450,0,0,0,1,0,0
0.125475750,0,0,0,1,1,0
0.125484725,0,0,0,0,1,0
0.125528575,0,0,0,0,1,1
0.125550275,0,0,0,0,1,0
0.125705425,0,1,0,0,1,0
0.125719750,0,0,0,0,1,0
0.125726375,0,0,1,0,1,0
0.125755325,0,0,0,0,1,0
0.125788425,1,0,0,0,1,0
0.125804150,0,0,0,0,1,0
0.125984925,0,0,0,0,0,0
0.127500625,0,0,0,0,1,0
0.127509875,0,0,0,1,1,0
0.127553350,0,0,0,1,1,1
0.127575050,0,0,0,1,1,0
0.127730250,0,1,0,1,1,0
0.127744575,0,0,0,1,1,0
0.127750825,0,0,1,1,1,0
0.127779775,0,0,0,1,1,0
0.127813200,1,0,0,1,1,0
0.127828925,0,0,0,1,1,0
0.128009675,0,0,0,1,0,0
0.129429325,0,0,0,1,1,0
0.129438300,0,0,0,0,1,0
0.129482150,0,0,0,0,1,1
0.129503875,0,0,0,0,1,0
0.129658950,0,1,0,0,1,0
0.129673275,0,0,0,0,1,0
0.129679650,0,0,1,0,1,0
0.129708600,0,0,0,0,1,0
0.129741950,1,0,0,0,1,0
0.129757675,0,0,0,0,1,0
0.129938500,0,0,0,0,0,0
0.131455525,0,0,0,0,1,0
